sample,10000,length,5218                                                                          
Time(ns),Vol(V)
00000000.000000,-0.001928
00100000.000000,-0.001928
00200000.000000,-0.001928
00300000.000000,-0.001928
00400000.000000,-0.001928
00500000.000000,-0.001313
00600000.000000,-0.001928
00700000.000000,-0.001928
00800000.000000,-0.001928
00900000.000000,-0.001928
01000000.000000,-0.001928
01100000.000000,-0.001928
01200000.000000,-0.001928
01300000.000000,-0.001928
01400000.000000,-0.001313
01500000.000000,-0.001928
01600000.000000,-0.001928
01700000.000000,-0.001928
01800000.000000,-0.001928
01900000.000000,-0.001928
02000000.000000,-0.001928
02100000.000000,-0.001313
02200000.000000,-0.001928
02300000.000000,-0.001928
02400000.000000,-0.001928
02500000.000000,-0.001928
02600000.000000,-0.001928
02700000.000000,-0.001928
02800000.000000,-0.001928
02900000.000000,-0.001928
03000000.000000,-0.001928
03100000.000000,-0.001313
03200000.000000,-0.001313
03300000.000000,-0.001928
03400000.000000,-0.001313
03500000.000000,-0.001928
03600000.000000,-0.001313
03700000.000000,-0.001313
03800000.000000,-0.001928
03900000.000000,-0.001313
04000000.000000,-0.001928
04100000.000000,-0.001928
04200000.000000,-0.001928
04300000.000000,-0.001928
04400000.000000,-0.001313
04500000.000000,-0.001928
04600000.000000,-0.001313
04700000.000000,-0.001928
04800000.000000,-0.001928
04900000.000000,-0.001928
05000000.000000,-0.001928
05100000.000000,-0.001928
05200000.000000,-0.001313
05300000.000000,-0.001928
05400000.000000,-0.001313
05500000.000000,-0.001313
05600000.000000,-0.001928
05700000.000000,-0.001928
05800000.000000,-0.001928
05900000.000000,-0.001928
06000000.000000,-0.001928
06100000.000000,-0.001928
06200000.000000,-0.001928
06300000.000000,-0.001928
06400000.000000,-0.001928
06500000.000000,-0.001928
06600000.000000,-0.001928
06700000.000000,-0.001928
06800000.000000,-0.001928
06900000.000000,-0.001928
07000000.000000,-0.001928
07100000.000000,-0.001928
07200000.000000,-0.001928
07300000.000000,-0.001928
07400000.000000,-0.001928
07500000.000000,-0.001313
07600000.000000,-0.001928
07700000.000000,-0.001313
07800000.000000,-0.001928
07900000.000000,-0.001928
08000000.000000,-0.001313
08100000.000000,-0.001313
08200000.000000,-0.001313
08300000.000000,-0.001928
08400000.000000,-0.001928
08500000.000000,-0.001313
08600000.000000,-0.001928
08700000.000000,-0.001313
08800000.000000,-0.001928
08900000.000000,-0.001313
09000000.000000,-0.001313
09100000.000000,-0.001313
09200000.000000,-0.001928
09300000.000000,-0.001928
09400000.000000,-0.001928
09500000.000000,-0.001928
09600000.000000,-0.001313
09700000.000000,-0.001928
09800000.000000,-0.001928
09900000.000000,-0.001928
10000000.000000,-0.001928
10100000.000000,-0.001928
10200000.000000,-0.001928
10300000.000000,-0.001928
10400000.000000,-0.001928
10500000.000000,-0.001928
10600000.000000,-0.001928
10700000.000000,-0.001928
10800000.000000,-0.001928
10900000.000000,-0.001928
11000000.000000,-0.001313
11100000.000000,-0.001928
11200000.000000,-0.001928
11300000.000000,-0.001928
11400000.000000,-0.001928
11500000.000000,-0.001928
11600000.000000,-0.001928
11700000.000000,-0.001928
11800000.000000,-0.001928
11900000.000000,-0.001928
12000000.000000,-0.001928
12100000.000000,-0.001928
12200000.000000,-0.001928
12300000.000000,-0.001313
12400000.000000,-0.001313
12500000.000000,-0.001928
12600000.000000,-0.001313
12700000.000000,-0.001928
